Model Name,Threshold,F1,Precision,Recall,TP,FP,FN,TN,Loss,ROC AUC,Embeddings Shape
sentence-transformers/multi-qa-mpnet-base-dot-v1,"[0.6, 0.62, 0.64, 0.66, 0.68, 0.7, 0.72, 0.74, 0.76, 0.78, 0.8, 0.82, 0.84, 0.86, 0.88, 0.9]","[0.03778628548127676, 0.05669185497347962, 0.08327141878997131, 0.11945844267434569, 0.16672107955163784, 0.22238139842415558, 0.2779039711756873, 0.3181484972248403, 0.3341672152732061, 0.3248777506112469, 0.2903335602450647, 0.26457153298008407, 0.238231370306842, 0.21715399610136452, 0.19643564356435642, 0.18439999999999998]","[0.019389937691806938, 0.02956052282629286, 0.04457337138757623, 0.06674105405195008, 0.09972659809920584, 0.14811009174311926, 0.21521290792187311, 0.30228855721393033, 0.41322044936502766, 0.5262376237623763, 0.6309171597633136, 0.7629083245521602, 0.8644536652835408, 0.9191419141914191, 0.9429657794676806, 0.9684873949579832]","[0.7374005305039788, 0.6898762157382847, 0.6317418213969939, 0.5685234305923961, 0.5079575596816976, 0.44606542882404954, 0.392130857648099, 0.33576480990274093, 0.28050397877984085, 0.23496905393457118, 0.1885499557913351, 0.16003536693191867, 0.13815207780725022, 0.12312113174182139, 0.10963748894783377, 0.10190097259062776]","[3336, 3121, 2858, 2572, 2298, 2018, 1774, 1519, 1269, 1063, 853, 724, 625, 557, 496, 461]","[168712, 102459, 61261, 35965, 20745, 11607, 6469, 3506, 1802, 957, 499, 225, 98, 49, 30, 15]","[1188, 1403, 1666, 1952, 2226, 2506, 2750, 3005, 3255, 3461, 3671, 3800, 3899, 3967, 4028, 4063]","[49821764, 49888017, 49929215, 49954511, 49969731, 49978869, 49984007, 49986970, 49988674, 49989519, 49989977, 49990251, 49990378, 49990427, 49990446, 49990461]",tensor(0.8702),0.983859814,"(10000, 3)"
sentence-transformers/all-mpnet-base-v2,"[0.6, 0.62, 0.64, 0.66, 0.68, 0.7, 0.72, 0.74, 0.76, 0.78, 0.8, 0.82, 0.84, 0.86, 0.88, 0.9]","[0.024825985272602803, 0.03509545841583143, 0.04944593045471914, 0.07055052007657005, 0.09781780394873572, 0.13479933458099397, 0.18345631067961163, 0.23899724579843745, 0.2920347064801063, 0.330843989769821, 0.3470948012232416, 0.33799428657344754, 0.31206633948214585, 0.27383330306882153, 0.23507036896158237, 0.20503738685556866]","[0.012611257630481678, 0.017964606417056137, 0.025608346658645094, 0.0372168284789644, 0.05306674684305472, 0.07638152468481206, 0.11127862055969094, 0.16024722996909627, 0.2259039787156851, 0.3079413445058084, 0.40974729241877256, 0.5284438175834508, 0.6657039711191336, 0.7670396744659207, 0.8419618528610354, 0.9336917562724014]","[0.7895667550839964, 0.7561892130857648, 0.7150751547303271, 0.6761715296198055, 0.6242263483642794, 0.5731653404067197, 0.52210433244916, 0.46993810786914236, 0.41290893015030944, 0.3574270557029178, 0.3010610079575597, 0.2484526967285588, 0.20380194518125552, 0.16666666666666666, 0.13660477453580902, 0.11516357206012379]","[3572, 3421, 3235, 3059, 2824, 2593, 2362, 2126, 1868, 1617, 1362, 1124, 922, 754, 618, 521]","[279667, 187009, 123091, 79135, 50392, 31355, 18864, 11141, 6401, 3634, 1962, 1003, 463, 229, 116, 37]","[952, 1103, 1289, 1465, 1700, 1931, 2162, 2398, 2656, 2907, 3162, 3400, 3602, 3770, 3906, 4003]","[49710809, 49803467, 49867385, 49911341, 49940084, 49959121, 49971612, 49979335, 49984075, 49986842, 49988514, 49989473, 49990013, 49990247, 49990360, 49990439]",tensor(0.8361),0.983009588,"(10000, 3)"
sentence-transformers/all-distilroberta-v1,"[0.6, 0.62, 0.64, 0.66, 0.68, 0.7, 0.72, 0.74, 0.76, 0.78, 0.8, 0.82, 0.84, 0.86, 0.88, 0.9]","[0.041237381114681726, 0.056105237368311946, 0.07673404020322509, 0.10407423989580364, 0.13926961091701753, 0.1827910589453698, 0.22759845654437436, 0.2722871452420701, 0.30095196884465597, 0.3170893639622892, 0.3135867056470226, 0.2916666666666667, 0.25511520737327187, 0.22337962962962968, 0.20071118135124458, 0.1862509992006395]","[0.021242584157687393, 0.02930175790862025, 0.04092301348883784, 0.05731384767113462, 0.08051096150526497, 0.1135656836461126, 0.15741760569346777, 0.21875, 0.2947033898305085, 0.3970734951779182, 0.5159493670886076, 0.6596573208722741, 0.7680355160932297, 0.8772727272727273, 0.9442379182156134, 0.9708333333333333]","[0.7020335985853228, 0.6580459770114943, 0.6142793987621574, 0.5652077807250221, 0.515473032714412, 0.46816976127320953, 0.41069849690539345, 0.3605216622458002, 0.3074712643678161, 0.2639257294429708, 0.22524314765694076, 0.1872236958443855, 0.15296198054818744, 0.12798408488063662, 0.11229000884173299, 0.10300618921308577]","[3176, 2977, 2779, 2557, 2332, 2118, 1858, 1631, 1391, 1194, 1019, 847, 692, 579, 508, 466]","[146335, 98621, 65129, 42057, 26633, 16532, 9945, 5825, 3329, 1813, 956, 437, 209, 81, 30, 14]","[1348, 1547, 1745, 1967, 2192, 2406, 2666, 2893, 3133, 3330, 3505, 3677, 3832, 3945, 4016, 4058]","[49844141, 49891855, 49925347, 49948419, 49963843, 49973944, 49980531, 49984651, 49987147, 49988663, 49989520, 49990039, 49990267, 49990395, 49990446, 49990462]",tensor(0.8059),0.983239341,"(10000, 3)"
sentence-transformers/all-MiniLM-L12-v2,"[0.6, 0.62, 0.64, 0.66, 0.68, 0.7, 0.72, 0.74, 0.76, 0.78, 0.8, 0.82, 0.84, 0.86, 0.88, 0.9]","[0.017748235243101266, 0.024091493537253837, 0.03297957017776598, 0.04468133588277837, 0.06050489681965227, 0.0812027407588088, 0.10788626961717773, 0.13983334929604443, 0.17135862913096694, 0.20405115280500327, 0.22797050646681977, 0.23660322108345538, 0.2346666666666667, 0.21822803195352214, 0.20627973358705995, 0.19267671822988056]","[0.009000235608261997, 0.012296724097434267, 0.016999917940862714, 0.02338896206943047, 0.032418913143273234, 0.04512853375397432, 0.06335312716896738, 0.08925296491013571, 0.12374779021803183, 0.17660365164000646, 0.25153374233128833, 0.35039028620988727, 0.47696476964769646, 0.6107723577235772, 0.7414500683994528, 0.8439108061749572]","[0.633289124668435, 0.5901856763925729, 0.5495137046861185, 0.4984526967285588, 0.4526967285587975, 0.40473032714412027, 0.3631741821396994, 0.32272325375773653, 0.27851458885941643, 0.24160035366931917, 0.20844385499557913, 0.1786030061892131, 0.15561450044208666, 0.1328470380194518, 0.1198054818744474, 0.10875331564986737]","[2865, 2670, 2486, 2255, 2048, 1831, 1643, 1460, 1260, 1093, 943, 808, 704, 601, 542, 492]","[315460, 214461, 143750, 94158, 61125, 38742, 24291, 14898, 8922, 5096, 2806, 1498, 772, 383, 189, 91]","[1659, 1854, 2038, 2269, 2476, 2693, 2881, 3064, 3264, 3431, 3581, 3716, 3820, 3923, 3982, 4032]","[49675016, 49776015, 49846726, 49896318, 49929351, 49951734, 49966185, 49975578, 49981554, 49985380, 49987670, 49988978, 49989704, 49990093, 49990287, 49990385]",tensor(0.8265),0.964790442,"(10000, 3)"
mixedbread-ai/mxbai-embed-large-v1,"[0.6, 0.62, 0.64, 0.66, 0.68, 0.7, 0.72, 0.74, 0.76, 0.78, 0.8, 0.82, 0.84, 0.86, 0.88, 0.9]","[0.0007649171265659677, 0.0011192034458840814, 0.0017422697011401883, 0.002852676396683024, 0.0048859646390524165, 0.008620885434882338, 0.015559177147074197, 0.028535822820787513, 0.05289036305944323, 0.09715670982654614, 0.17015256375941576, 0.2631429786028057, 0.33525358635490793, 0.3406245285865138, 0.29836007758772704, 0.24980988593155892]","[0.0003826094997245578, 0.0005599294017815747, 0.0008719418809166571, 0.0014285615838909524, 0.0024497510134313723, 0.0043327002447131014, 0.007857665771901412, 0.014555852451922863, 0.027566174748184586, 0.053092074185134217, 0.10287114522169309, 0.19363920750782065, 0.3428043428043428, 0.5363420427553445, 0.7375762859633828, 0.8926630434782609]","[0.9694960212201591, 0.9562334217506632, 0.9412024756852343, 0.916445623342175, 0.8841732979664014, 0.8390804597701149, 0.7829354553492485, 0.7212643678160919, 0.6503094606542882, 0.5713969938107869, 0.4918213969938108, 0.4104774535809019, 0.3280282935455349, 0.2495579133510168, 0.1870026525198939, 0.14522546419098142]","[4386, 4326, 4258, 4146, 4000, 3796, 3542, 3263, 2942, 2585, 2225, 1857, 1484, 1129, 846, 657]","[11458999, 7721648, 4879095, 2898074, 1628819, 872332, 447228, 220908, 103783, 46104, 19404, 7733, 2845, 976, 301, 79]","[138, 198, 266, 378, 524, 728, 982, 1261, 1582, 1939, 2299, 2667, 3040, 3395, 3678, 3867]","[38531477, 42268828, 45111381, 47092402, 48361657, 49118144, 49543248, 49769568, 49886693, 49944372, 49971072, 49982743, 49987631, 49989500, 49990175, 49990397]",tensor(1.0012),0.976610845,"(10000, 3)"
intfloat/multilingual-e5-large-instruct,"[0.6, 0.62, 0.64, 0.66, 0.68, 0.7, 0.72, 0.74, 0.76, 0.78, 0.8, 0.82, 0.84, 0.86, 0.88, 0.9]","[0.00018096172275560064, 0.00018096172275560064, 0.00018096172275560064, 0.00018096172275560064, 0.00018096174809048655, 0.00018096482090282885, 0.00018098726754172786, 0.00018097985003640704, 0.0001811264116587263, 0.000182686889131879, 0.0001941916137436903, 0.0002480140482360694, 0.0004706795413567519, 0.0015681423301953056, 0.008389530351621561, 0.054084790784952444]","[9.04890489048905e-05, 9.04890489048905e-05, 9.04890489048905e-05, 9.04890489048905e-05, 9.048906157462609e-05, 9.049059825886807e-05, 9.050182360974526e-05, 9.049811599649541e-05, 9.057141008011135e-05, 9.135179079805716e-05, 9.71052395534937e-05, 0.0001240224276040701, 0.00023539567529364075, 0.000784711339746622, 0.004214716077002411, 0.0280741109302659]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9997789566755084, 0.9997789566755084, 0.9997789566755084, 0.9995579133510168, 0.9984526967285589, 0.9909372236958444, 0.9610963748894783, 0.8861626878868258, 0.7358532272325375]","[4524, 4524, 4524, 4524, 4524, 4524, 4524, 4523, 4523, 4523, 4522, 4517, 4483, 4348, 4009, 3329]","[49990476, 49990476, 49990476, 49990476, 49990469, 49989620, 49983419, 49974418, 49933973, 49507369, 46563511, 36416315, 19040047, 5536543, 947182, 115250]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 7, 41, 176, 515, 1195]","[0, 0, 0, 0, 7, 856, 7057, 16058, 56503, 483107, 3426965, 13574161, 30950429, 44453933, 49043294, 49875226]",tensor(1.1941),0.98382759,"(10000, 3)"
avsolatorio/GIST-large-Embedding-v0,"[0.6, 0.62, 0.64, 0.66, 0.68, 0.7, 0.72, 0.74, 0.76, 0.78, 0.8, 0.82, 0.84, 0.86, 0.88, 0.9]","[0.0047342500005745445, 0.0074939279655328135, 0.011914310410615418, 0.0191177668094764, 0.03047303442624427, 0.04923459158561802, 0.079143194937061, 0.12378777835064202, 0.18647197045988587, 0.26436155731010075, 0.3211222121303865, 0.34202821400053235, 0.3251641838859523, 0.29354207436399216, 0.2525080446715881, 0.21613155833985906]","[0.0023732937630761572, 0.0037629466200894772, 0.005999425937282864, 0.009673843405490616, 0.015553328982323256, 0.025525219503843864, 0.04222885217675261, 0.069627420112133, 0.11508183136523721, 0.19099134539732493, 0.29545032497678736, 0.4297658862876254, 0.5904595695171612, 0.7520510483135825, 0.8787878787878788, 0.9452054794520548]","[0.9106984969053935, 0.882183908045977, 0.8454907161803713, 0.8043766578249337, 0.7480106100795756, 0.6920866489832007, 0.628868258178603, 0.5572502210433244, 0.491158267020336, 0.4292661361626879, 0.35167992926613617, 0.28404067197170646, 0.22435897435897437, 0.1823607427055703, 0.14743589743589744, 0.1220159151193634]","[4120, 3991, 3825, 3639, 3384, 3131, 2845, 2521, 2222, 1942, 1591, 1285, 1015, 825, 667, 552]","[1731864, 1056614, 633736, 372530, 214190, 119532, 64526, 33686, 17086, 8226, 3794, 1705, 704, 272, 92, 32]","[404, 533, 699, 885, 1140, 1393, 1679, 2003, 2302, 2582, 2933, 3239, 3509, 3699, 3857, 3972]","[48258612, 48933862, 49356740, 49617946, 49776286, 49870944, 49925950, 49956790, 49973390, 49982250, 49986682, 49988771, 49989772, 49990204, 49990384, 49990444]",tensor(0.9439),0.982209626,"(10000, 3)"
llmrails/ember-v1,"[0.6, 0.62, 0.64, 0.66, 0.68, 0.7, 0.72, 0.74, 0.76, 0.78, 0.8, 0.82, 0.84, 0.86, 0.88, 0.9]","[0.001874882183014994, 0.0031158378497778655, 0.005308688540130821, 0.009279515289969334, 0.016567306742202168, 0.02941632254947539, 0.05266832560554252, 0.09148120803009528, 0.15323315887219313, 0.2347235693501455, 0.3082093134901584, 0.3345607574960547, 0.32414126753749395, 0.28535262206148276, 0.2478078536027449, 0.21201413427561835]","[0.000938381464926108, 0.001560580189958065, 0.0026624423660129926, 0.004665965793738591, 0.008372767697905025, 0.015017824067610458, 0.0274455659831707, 0.04969252511363202, 0.09043083177234865, 0.16171065820247243, 0.2724494992361229, 0.412987012987013, 0.5992844364937389, 0.7842942345924453, 0.9002770083102493, 0.9473684210526315]","[0.9354553492484527, 0.9135720601237842, 0.8726790450928382, 0.8260389036251106, 0.7782935455349248, 0.7133068081343943, 0.6503094606542882, 0.5751547303271441, 0.5015473032714411, 0.42793987621573826, 0.3547745358090186, 0.28116710875331563, 0.22214854111405835, 0.17440318302387267, 0.14367816091954022, 0.11936339522546419]","[4232, 4133, 3948, 3737, 3521, 3227, 2942, 2602, 2269, 1936, 1605, 1272, 1005, 789, 650, 540]","[4505661, 2644241, 1478901, 797169, 417009, 211651, 104252, 49760, 22822, 10036, 4286, 1808, 672, 217, 72, 30]","[292, 391, 576, 787, 1003, 1297, 1582, 1922, 2255, 2588, 2919, 3252, 3519, 3735, 3874, 3984]","[45484815, 47346235, 48511575, 49193307, 49573467, 49778825, 49886224, 49940716, 49967654, 49980440, 49986190, 49988668, 49989804, 49990259, 49990404, 49990446]",tensor(0.9766),0.976464743,"(10000, 3)"
